"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1979","77.8125","18.2653999328613","425","27.823","18.201","0","3.14855454771043","0.409133140622435","14.6231469",
"1/2/1979","77.8125","18.2653999328613","425","30.267","17.255","0","3.18099739601765","0.491912497932197","18.086684832",
"1/3/1979","77.8125","18.2653999328613","425","29.237","16.62","0","2.32740628178242","0.570364522000138","11.797265232",
"1/4/1979","77.8125","18.2653999328613","425","28.474","18.486","0","2.94010691682949","0.448339850991394","16.38067698",
"1/5/1979","77.8125","18.2653999328613","425","29.929","20.584","0","1.9621960059524","0.387800298510952","17.02743453",
"1/6/1979","77.8125","18.2653999328613","425","30.223","17.436","0","2.38308086930335","0.397055092531723","18.160256988",
"1/7/1979","77.8125","18.2653999328613","425","29.63","18.253","0","2.36288882193801","0.405147184100835","18.432784926",
"1/8/1979","77.8125","18.2653999328613","425","29.449","15.751","0","2.22640833897152","0.386420963984111","18.211560048",
"1/9/1979","77.8125","18.2653999328613","425","29.745","16.343","0","2.81885087454373","0.35067568936758","18.60721722",
"1/10/1979","77.8125","18.2653999328613","425","28.928","12.933","0","2.10459834541689","0.392524803782237","18.860339952",
"1/11/1979","77.8125","18.2653999328613","425","29.089","14.463","0","3.16649479112006","0.348847499614615","19.21145652",
"1/12/1979","77.8125","18.2653999328613","425","28.305","13.812","0","2.21849100561033","0.353102512927307","19.230403968",
"1/13/1979","77.8125","18.2653999328613","425","28.738","14.528","0","1.76797968061561","0.425005062273961","18.844874352",
"1/14/1979","77.8125","18.2653999328613","425","30.267","16.624","0","2.93100470961006","0.367071548843655","18.980045568",
"1/15/1979","77.8125","18.2653999328613","425","30.448","16.5","0","3.19175221660793","0.423574098092363","18.94753242",
"1/16/1979","77.8125","18.2653999328613","425","28.84","17.812","0","2.5124257207244","0.461617847688685","13.095004752",
"1/17/1979","77.8125","18.2653999328613","425","29.989","18.506","0","2.51127612260615","0.421266095087106","14.651886384",
"1/18/1979","77.8125","18.2653999328613","425","30.781","21.285","0","3.2919517646979","0.36303943166743","18.965930184",
"1/19/1979","77.8125","18.2653999328613","425","29.799","19.327","0.2883912264","3.80618256663427","0.566365599187149","7.310867796",
"1/20/1979","77.8125","18.2653999328613","425","30.466","18.943","0.2377511712","3.31231830133364","0.620973908439248","13.940549748",
"1/21/1979","77.8125","18.2653999328613","425","26.512","19.212","0.2059936056","4.48645579571808","0.683436075816844","7.49272779",
"1/22/1979","77.8125","18.2653999328613","425","31.84","18.717","0","4.64645846906519","0.470007219532963","19.093497732",
"1/23/1979","77.8125","18.2653999328613","425","31.011","16.529","0","3.45880241595491","0.406533118799347","19.673829432",
"1/24/1979","77.8125","18.2653999328613","425","31.327","17.345","0.126170928","3.12276658168254","0.526984944288736","15.363902232",
"1/25/1979","77.8125","18.2653999328613","425","30.926","20.242","0.0506400264","3.19817554157995","0.44797939425217","16.8768036",
"1/26/1979","77.8125","18.2653999328613","425","31.192","19.776","0","2.55978596190778","0.441132109918541","18.0290241",
"1/27/1979","77.8125","18.2653999328613","425","32.516","22.142","0","3.40777091481283","0.374373048649931","19.042933788",
"1/28/1979","77.8125","18.2653999328613","425","32.595","20.405","0","4.96145556239053","0.382720103228294","16.838150868",
"1/29/1979","77.8125","18.2653999328613","425","28.152","22.429","0","2.51260387551875","0.445133533061551","7.772345172",
"1/30/1979","77.8125","18.2653999328613","425","30.774","20.827","0","2.51097272040004","0.429845015015958","19.184903928",
"1/31/1979","77.8125","18.2653999328613","425","33.5","16.312","0","2.56529784492313","0.411763015257416","19.811305872",
"2/1/1979","77.8125","18.2653999328613","425","31.153","20.529","0","3.09743511002494","0.273211941278939","17.37754218",
"2/2/1979","77.8125","18.2653999328613","425","30.069","14.288","0","2.80746253032854","0.176460919495646","20.34449766",
"2/3/1979","77.8125","18.2653999328613","425","29.926","14.61","0","3.38291044012528","0.333445345872955","20.822736492",
"2/4/1979","77.8125","18.2653999328613","425","31.689","15.821","0","3.32855844859681","0.370391855398196","19.843876332",
"2/5/1979","77.8125","18.2653999328613","425","30.293","19.659","0.0274658112","4.16697832222304","0.523236491876167","14.774563332",
"2/6/1979","77.8125","18.2653999328613","425","26.763","21.813","0.0068664528","3.78984008601409","0.54018997562344","4.07542392",
"2/7/1979","77.8125","18.2653999328613","425","30.261","18.955","0","2.29632352748449","0.523222610634008","8.8645491",
"2/8/1979","77.8125","18.2653999328613","425","30.841","17.848","0","2.88339056038542","0.32441174319382","20.587499568",
"2/9/1979","77.8125","18.2653999328613","425","29.544","16.988","0","2.33749036110682","0.525848807645708","15.487201548",
"2/10/1979","77.8125","18.2653999328613","425","30.864","18.663","0","2.60812725255715","0.452933703535648","15.6575844",
"2/11/1979","77.8125","18.2653999328613","425","31.16","20.924","0.0171661392","3.64373582525259","0.566409185109728","13.031943606",
"2/12/1979","77.8125","18.2653999328613","425","29.269","20.539","0.0034332264","4.80597237295928","0.615186927913987","13.403478492",
"2/13/1979","77.8125","18.2653999328613","425","30.814","18.793","0.460052244","3.50796109004057","0.563400273728532","20.150608032",
"2/14/1979","77.8125","18.2653999328613","425","28.228","19.711","4.6571679","4.13622321300262","0.692182566937817","4.12458714",
"2/15/1979","77.8125","18.2653999328613","425","25.763","19.721","2.080534644","4.46236357843246","0.68830858902935","5.415070932",
"2/16/1979","77.8125","18.2653999328613","425","29.147","20.549","2.6968002264","3.2494016519306","0.687998352697372","14.64929712",
"2/17/1979","77.8125","18.2653999328613","425","31.344","21.699","0.0034332264","3.85939762375944","0.537480006147202","17.51304042",
"2/18/1979","77.8125","18.2653999328613","425","33.108","20.764","0","3.7653411918565","0.40950607804379","20.868582672",
"2/19/1979","77.8125","18.2653999328613","425","31.621","21.329","3.615192072","3.79866223429618","0.600463206674533","16.706978712",
"2/20/1979","77.8125","18.2653999328613","425","31.049","18.731","0","2.0217955651141","0.523229446655579","19.69661376",
"2/21/1979","77.8125","18.2653999328613","425","31.684","17.622","0","2.58615925299216","0.322170620463843","22.76150328",
"2/22/1979","77.8125","18.2653999328613","425","32.946","13.784","0","1.56573970672708","0.267362941016107","22.97435292",
"2/23/1979","77.8125","18.2653999328613","425","34.229","18.766","0","2.34680687206042","0.345873808543587","22.79503116",
"2/24/1979","77.8125","18.2653999328613","425","33.627","18.275","0","2.80121441560166","0.281148833769941","23.52336048",
"2/25/1979","77.8125","18.2653999328613","425","32.723","16.91","0","3.58327412202027","0.208693238738009","23.46626232",
"2/26/1979","77.8125","18.2653999328613","425","32.609","16.737","0","3.33535290378933","0.290828789411826","22.8193326",
"2/27/1979","77.8125","18.2653999328613","425","32.689","20.056","0","3.22533109089568","0.403596004084642","20.09610162",
"2/28/1979","77.8125","18.2653999328613","425","23.528","20.594","1.589584752","3.7994743994985","0.59178172534576","2.774250144",
"3/1/1979","77.8125","18.2653999328613","425","32.409","18.379","0.0575064","3.53923672601467","0.421335641687319","22.10945571",
"3/2/1979","77.8125","18.2653999328613","425","32.813","18.591","0","3.63985627571365","0.331558846860793","23.52110652",
"3/3/1979","77.8125","18.2653999328613","425","32.719","17.059","0","3.43993965875829","0.341515775899491","23.279904",
"3/4/1979","77.8125","18.2653999328613","425","33.848","18.978","0","3.36372288325255","0.341849445610238","22.609178856",
"3/5/1979","77.8125","18.2653999328613","425","34.559","19.848","0","3.43071873491937","0.258430579091646","24.180303312",
"3/6/1979","77.8125","18.2653999328613","425","35.4","20.383","0","3.02957843415699","0.249326720541355","24.22705176",
"3/7/1979","77.8125","18.2653999328613","425","36.503","21.461","0","2.56934155067856","0.277097598038879","21.087898812",
"3/8/1979","77.8125","18.2653999328613","425","35.44","24.544","0","2.48645020982976","0.259440062319487","18.930151908",
"3/9/1979","77.8125","18.2653999328613","425","33.251","18.05","0","3.58563655633019","0.0882609432968895","25.021902528",
"3/10/1979","77.8125","18.2653999328613","425","32.528","14.057","0","3.125812039786","0.0944819238526828","25.52602968",
"3/11/1979","77.8125","18.2653999328613","425","34.845","12.661","0","2.46943536657407","0.117420896368074","25.31273292",
"3/12/1979","77.8125","18.2653999328613","425","35.415","16.061","0","2.37788822698282","0.14240593729094","25.33924116",
"3/13/1979","77.8125","18.2653999328613","425","35.544","16.836","0","2.0882467062783","0.131406971207495","25.52119488",
"3/14/1979","77.8125","18.2653999328613","425","36.296","16.959","0","1.94136361529386","0.142386447291801","25.48827468",
"3/15/1979","77.8125","18.2653999328613","425","37.188","18.732","0","2.33566005069814","0.177954643908153","24.93424764",
"3/16/1979","77.8125","18.2653999328613","425","37.998","17.748","0","1.59146432826014","0.179394207160064","25.2364644",
"3/17/1979","77.8125","18.2653999328613","425","37.901","22.747","0","2.79350042500635","0.187371390607117","25.06707324",
"3/18/1979","77.8125","18.2653999328613","425","38.148","17.379","0","1.68120851443982","0.1737558720223","25.40130372",
"3/19/1979","77.8125","18.2653999328613","425","38.095","21","0","2.68118755613174","0.176165869955951","25.43893524",
"3/20/1979","77.8125","18.2653999328613","425","39.705","22.058","0","2.38027931738295","0.189949059244466","25.24286232",
"3/21/1979","77.8125","18.2653999328613","425","38.73","25.15","0","2.21864747279473","0.180300677010359","25.13839284",
"3/22/1979","77.8125","18.2653999328613","425","38.853","24.125","0","2.65466138520441","0.165698811972982","24.811920324",
"3/23/1979","77.8125","18.2653999328613","425","38.478","26.461","0","3.8169859627091","0.152812357398716","25.41977568",
"3/24/1979","77.8125","18.2653999328613","425","39.456","23.855","0","2.65810269449956","0.166798958688762","25.4899026",
"3/25/1979","77.8125","18.2653999328613","425","40.763","22.745","0","2.19432633929758","0.186542197907609","24.415801632",
"3/26/1979","77.8125","18.2653999328613","425","40.817","25.764","0.01373292","1.46457548954365","0.194551009972028","22.89746808",
"3/27/1979","77.8125","18.2653999328613","425","38.964","25.969","0.0034332264","2.06400158696149","0.170083952983079","25.357582008",
"3/28/1979","77.8125","18.2653999328613","425","39.463","25.388","0","2.34679112498249","0.153894107861494","25.903018368",
"3/29/1979","77.8125","18.2653999328613","425","38.437","21.419","0","2.50745570865537","0.162144811965646","26.16566355",
